name,grades,score,ra,dec,ABmag_F444W,has_COWLS_counterpart,within_COWLS_footprint,code_COWLS
UDS_37662,SABAAAAA,14,34.404786782,-5.2248674186,18.5693,False,False,
COS_39393,UXAAABAA,11,150.07443729,2.2809122794,19.7196,False,True,
Web_041_5069,XXABAAAA,11,150.19859313964844,1.839791178703308,18.62730026245117,True,True,COSJ100047+015023
Web_090_18585,SSABUABA,10,150.05581665039062,2.5733466148376465,20.042800903320312,True,True,COSJ100013+023424
EGS_24131,XBAUUAAA,9,214.79032888,52.775824477,19.9446,False,False,
UDS_38965,SXBBBAAS,9,34.275997367,-5.2215782721,18.6474,False,False,
Web_052_12575,SXBUBAAA,9,150.26388549804688,2.03310489654541,20.585599899291992,True,True,COSJ100103+020159
Web_052_22861,SXBBBBAA,9,150.28749084472656,2.089165449142456,19.374399185180664,False,True,
Web_065_29059,SAUXXAAA,9,150.1182403564453,2.292133092880249,19.436199188232425,True,True,COSJ100028+021731
COS_32292,USBSUASA,8,150.18360776,2.252410305,20.4751,True,True,COSJ100044+021508
GSN_1450,XXBBBAAS,8,189.33995274,62.141642878,19.6192,False,False,
Web_041_11175,SXBUBBAA,8,150.16981506347656,1.8704770803451536,19.76679992675781,True,True,COSJ100040+015213
Web_055_24530,XXBBUAAA,8,149.8406982421875,2.110657215118408,19.625600814819336,True,True,COSJ095921+020638
Web_067_13005,SXBAXUAA,8,149.8124542236328,2.202793598175049,20.20479965209961,False,True,
Web_088_13,BXBBXAAS,8,150.3413848876953,2.461312770843506,19.0713005065918,True,True,COSJ100121+022740
COS_93461,XXBBBBAS,7,150.08873941,2.4606279206,18.8237,False,True,
EGS_35435,XXBBABSS,7,214.98433956,52.961321964,19.6825,False,False,
EGS_9007,UXBUBSAA,7,215.13252843,52.972788407,18.418,False,False,
EGS_943,SXBUXSAA,7,215.09380452,52.857815114,19.6837,False,False,
GSN_23112,XXSAUBBA,7,189.23602035,62.205603478,20.3477,False,False,
GSN_23877,XXBAXUAA,7,189.21701094,62.207317172,20.8845,False,False,
Web_040_2593,XXBBXAAS,7,150.33056640625,1.8136210441589355,19.707399368286133,True,True,COSJ100119+014849
Web_043_813,BXAUXAXA,7,149.82151794433594,1.9069688320159912,20.326400756835938,True,True,COSJ095917+015424
